periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2014-04-01,111592.792,139501.08,45649.60100000002,3461,77167.01599999999,106063.004,63835.61300000001,207135.3180000001,83218.90200000002,171669.9539999999,307215.6120000001,22465.569,37873.24600000001,942.0969999999999,1377790.804
2014-05-01,122119.995,141161.675,43770.70699999999,3375.400000000001,76682.28,108413.244,70051.37000000001,217372.3040000001,83962.00799999999,176012.372,323127.749,22806.486,35206.20900000002,955.898,1425017.697
2014-06-01,119538.321,136597.6849999999,38411.35499999999,3154.9,76416.23300000002,108357.778,64039.404,204017.0580000001,83220.64999999998,166044.269,335992.9019999999,22654.672,36303.30699999999,1072.099,1395820.633
2014-07-01,113289.975,146335.1690000001,42673.49,2943.6,76796.44499999996,114204.246,70880.16999999998,194880.467,81466.50900000003,161752.61,324120.9209999999,22726.088,36114.995,1082.588,1389267.273
2014-08-01,110081.422,143190.1030000001,45233.26499999999,2288.5,77651.67600000004,113198.696,72421.57399999999,196552.1079999999,81665.39100000002,167192.241,295403.176,21879.151,35339.36099999998,1073.542,1363170.206
2014-09-01,106284.401,137549.02,50109.68500000001,2383.1,76868.01999999997,116323.4439999999,69789.016,212956.248,86612.14299999998,169759.3789999999,287646.1989999999,22318.68199999999,37136.857,1029.33,1376765.524
2014-10-01,114974.999,143935.721,53604.92400000002,2641,77063.28099999999,118807.74,68222.39399999999,217568.884,90515.89899999996,179833.7179999999,304203.4420000001,23005.652,39007.52800000001,1117.022,1434502.204
2014-11-01,93577.15900000003,138423.2430000001,54004.83299999999,2506.1,76504.12100000006,108237.4890000001,64480.54599999999,206067.6160000001,85723.99999999999,175599.596,318139.0739999999,22114.597,39025.987,1088.835,1385493.196
2014-12-01,89930.30200000001,138651.9940000001,57176.386,2652.7,65475.98400000003,108440.296,66049.10899999998,211143.926,79669.34500000003,173180.6020000001,288432.0300000001,21033.86199999999,35697.816,1195.974,1338730.326
2015-01-01,91892.83299999998,143922.8949999999,57320.56200000001,2959.2,59951.86500000003,107583.985,69794.73500000002,216070.4279999997,76032.53099999997,163117.9520000001,214846.364,19610.896,30656.699,1168.424,1254929.369
2015-02-01,93074.36499999999,142924.9020000001,49131.83300000001,3142.150000000001,67781.46200000003,105121.403,64429.19700000001,190164.74,80526.478,151971.926,225829.0550000001,20457.628,35938.05800000001,1323.364,1231816.561
2015-03-01,98516.37799999998,154646.2490000001,53212.41299999999,3723,76558.47900000005,115685.76,71199.08300000001,220763.2529999999,85469.92900000002,172204.5060000001,257350.006,22750.76899999999,39615.819,1140.174,1372835.818
2015-04-01,116677.059,149644.732,50766.64200000001,3648.21,75483.84899999997,115465.825,69871.85700000002,213503.854,85369.36799999994,175869.6039999999,234309.845,22805.11,38098.53199999998,1200.167,1352714.654
2015-05-01,87157.22100000002,147318.401,47130.80499999999,3503.8,76365.67900000002,114302.464,72303.01000000001,215806.596,85263.99500000005,180473.8579999999,247147.0910000001,22705.591,37912.66900000001,1137.415,1338528.595
2015-06-01,115651.3829999999,140733.966,41934.90100000001,3362,77057.87999999995,113905.39,66687.83099999999,201051.4759999999,86189.36599999998,177695.762,274996.334,23364.201,40872.71200000001,1147.795,1364650.997
2015-07-01,120827.21,142156.865,44349.422,2779.26,77293.64800000003,121666.128,68866.91799999999,179646.1410000001,85636.98499999999,172718.316,269931.9920000002,24126.129,40130.269,1185.387,1351314.670000001
2015-08-01,119633.444,139300.168,46208.945,2718.88,77410.321,113942.564,66904.57500000001,199875.8540000001,86459.63899999998,168525.896,301705.4540000001,23097.473,39455.29699999998,1130.832,1386369.342
2015-09-01,111182.32,138764.1889999999,48573.87599999999,2744.85,78596.83200000001,115853.0359999999,69612.53299999998,195630.5080000001,87083.19199999998,179993.852,263774.6139999999,23993.227,40817.229,1203.422,1357823.68
2015-10-01,105696.669,135495.1170000001,49691.37299999999,2657.66,78251.89900000002,119191.9989999999,68573.90000000001,206251.5080000001,85709.52500000001,187038.534,312839.4390000001,23104.63400000001,38890.90399999999,1033.801,1414426.962
2015-11-01,104409.3480000001,133239.149,50300.23500000001,2650.28,79065.26999999997,118160.618,68479.89599999999,205205.6410000001,87948.03599999998,180758.093,280676.5109999999,23250.507,38578.71099999999,1154.733,1373877.028
2015-12-01,95090.77500000002,135003.3539999999,56630.47700000002,2820.65,67721.16499999996,111323.3719999999,72237.76100000001,209494.2199999999,78355.46400000004,176789.584,228701.132,20831.448,34590.542,1119.799,1290709.743
2016-01-01,107504.8649999999,134960.7560000001,55904.539,3128.05,57961.88400000003,113356.404,72325.79299999999,205973.4699999999,78323.28099999999,163695.58,197977.748,19085.69,32623.525,1168.826,1243990.411
2016-02-01,93075.41300000002,137960.581,53491.96900000001,3257.75,73232.12500000007,108642.302,67963.52400000002,195761.5010000001,77400.93700000003,161889.0139999999,202687.0330000001,20774.02600000001,36714.482,1151.553,1234002.21
2016-03-01,111402.278,144225.094,52925.315,3601.39,78258.39500000002,105219.881,72954.25100000005,205201.819,85435.19200000004,168703.189,184226.846,22041.54600000001,41612.012,1076.207,1276883.415
2016-04-01,109505.928,137640.377,46503.855,3579.02,74667.13300000002,110607.604,70050.21000000002,199255.121,83228.18399999999,165694.3980000001,182934.114,22087.248,38821.001,1119.355,1245693.548
2016-05-01,114031.276,133981.104,39957.09599999998,3328.27,70368.99899999998,109770.423,70264.982,205100.3829999999,79149.32200000001,162042.772,215841.17,21642.079,38639.17799999999,1074.897,1265191.951
2016-06-01,113287.3090000001,128059.536,34130.894,2835.54,67433.357,107535.708,64287.99200000001,174477.312,73421.18800000005,155598.399,210067.5409999999,20238.453,37763.512,1100.416,1190237.157
2016-07-01,107464.4629999999,131757.951,40586.61900000001,2131.56,67464.09600000001,101158.968,72057.58500000001,191813.2860000001,73988.02900000002,173655.3349999999,198311.421,19840.464,38171.90500000001,991.5690000000002,1219393.251
